fromNode	toNode	weight	direction	fromAltName	toAltName
AASDHPPT	RPS3	0.107762779688961	undirected	NA	NA
ACSL3	ARHGAP5	0.161727572704799	undirected	NA	NA
ACSL3	NCOR1	0.148933591251226	undirected	NA	NA
ACSL3	ZC3H13	0.141401768416938	undirected	NA	NA
ACTB	CNP	0.181152720690845	undirected	NA	NA
ACTG1	HSPA8	0.105768820380933	undirected	NA	NA
ACTG1	PAFAH1B2	0.107866798201007	undirected	NA	NA
ADD3	CLCN3	0.175696246737148	undirected	NA	NA
ADD3	SPAG9	0.123219694254189	undirected	NA	NA
ALDOA	ATP5B	0.101070407903564	undirected	NA	NA
ALDOA	CLU	0.132773368303084	undirected	NA	NA
ALDOA	EIF4A2	0.106490816195058	undirected	NA	NA
ALDOA	GAPDH	0.209510830072616	undirected	NA	NA
ALDOA	HSP90AB1	0.143897627703994	undirected	NA	NA
ALDOA	TSPYL1	0.310011016043616	undirected	NA	NA
ALDOA	TUBA1B	0.132204305128803	undirected	NA	NA
ALDOA	USP11	0.158476824480015	undirected	NA	NA
ALDOA	USP22	0.149676825697906	undirected	NA	NA
ANKRD40	SECISBP2L	0.100956152600908	undirected	NA	NA
APC	ARID5B	0.10812127639013	undirected	NA	NA
APLP2	VAMP2	0.104641476117449	undirected	NA	NA
ARF4	YPEL5	0.120351788566332	undirected	NA	NA
ARF4	ZC3H13	0.117133651101537	undirected	NA	NA
ARHGAP5	ATP5A1	0.130706751809699	undirected	NA	NA
ARHGAP5	MYCBP2	0.10892416882073	undirected	NA	NA
ARHGAP5	NCOR1	0.111328910315513	undirected	NA	NA
ARID5B	ARRDC3	0.107137165774734	undirected	NA	NA
ARID5B	CXADR	0.101217891098286	undirected	NA	NA
ARID5B	GPM6B	0.110257373815221	undirected	NA	NA
ARID5B	H3F3B	0.10907849896257	undirected	NA	NA
ARL6IP1	COX6C	0.187291306565566	undirected	NA	NA
ARL6IP1	MYCBP2	0.114907462991199	undirected	NA	NA
ARL6IP5	STMN1	0.127920503063299	undirected	NA	NA
ARRDC3	CXADR	0.194224281626966	undirected	NA	NA
ARRDC3	FNIP1	0.128996792584539	undirected	NA	NA
ARRDC3	GPM6B	0.13243814435128	undirected	NA	NA
ARRDC3	H3F3B	0.101011680147826	undirected	NA	NA
ARRDC3	MAPK1IP1L	0.101915624682096	undirected	NA	NA
ATP5A1	MYCBP2	0.113942588558851	undirected	NA	NA
ATP5A1	TUBA1B	0.11104495223388	undirected	NA	NA
